NAICS,INJURY_CAUSE_CD,INJURY_NATURE_CD,median_amount_paid
111110,31,52,1232.22
111110,56,52,1276.46
111110,60,52,55263.06
111110,75,13,1043.9
111140,25,10,801.5
111140,57,28,814.42
111140,59,52,30172.99
111150,1,4,5020.7
111150,12,13,211.31
111150,16,40,469.19
111150,17,40,1771.36
111150,19,40,523.6
111150,19,43,581.72
111150,53,52,636.19
111150,57,49,516.52
111150,57,52,2589.995
111150,60,10,279.98
111150,60,52,37975.68
111150,68,10,872.54
111150,79,13,2210.86
111150,85,28,6675.21
111150,85,40,1460
111150,87,25,54378.08
111150,99,49,49328.34
111191,19,25,314.07
111191,19,40,710.79
111191,19,47,40733.13
111191,25,28,3413.17
111191,28,49,1719.19
111191,29,52,432.73
111191,30,16,1568.34
111191,31,40,823.6
111191,48,13,2156.78
111191,53,52,3781.26
111191,53,59,1265.93
111191,75,25,338.795
111191,87,59,984.52
111199,76,10,95.76
111199,85,59,1650
111211,10,37,324.13
111211,10,52,168.8
111211,10,90,85502.58
111211,12,10,4050.98
111211,12,28,4461.07
111211,13,49,2947.06
111211,13,52,9426.36
111211,17,40,876.88
111211,31,71,1072.9
111211,56,52,3894.75
111211,57,52,1157.39
111211,68,40,1094.84
111211,68,52,3863.72
111211,78,28,70217.39
111211,80,52,731.8
111211,97,52,2634.095
111219,4,4,6296.17
111219,10,2,3446.62
111219,12,37,473.54
111219,13,28,10797.48
111219,13,59,238.01
111219,16,40,552.455
111219,16,59,280.25
111219,17,28,1416.26
111219,17,40,793.78
111219,18,4,315.76
111219,18,40,637.095
111219,19,40,925.57
111219,25,28,11198.05
111219,26,28,8248.79
111219,31,10,2435.555
111219,31,28,997.21
111219,31,40,876.64
111219,31,59,5435.89
111219,31,90,15070.81
111219,33,52,31901.05
111219,56,52,2854.85
111219,58,52,131.23
111219,60,34,13372.21
111219,75,59,110.5
111219,81,28,81729.11
111219,82,42,658.78
111219,82,68,81.32
111219,85,28,462.85
111219,85,43,11112.48
111219,87,25,151.075
111331,1,4,307.66
111331,6,54,464.7
111331,10,13,1502.93
111331,12,40,1257.77
111331,12,90,612.54
111331,13,40,257.96
111331,13,59,1261.1
111331,16,40,545.885
111331,17,40,56.01
111331,19,37,205.17
111331,19,40,238.31
111331,19,43,433.71
111331,25,10,498.23
111331,25,40,3784.9
111331,25,49,329.61
111331,26,10,413.51
111331,26,28,1313.515
111331,26,49,360.32
111331,26,52,9998.08
111331,26,59,452.68
111331,26,90,4927.3
111331,27,59,389.64
111331,29,49,330.27
111331,30,90,1160.55
111331,31,10,1992.345
111331,31,28,16922.28
111331,31,37,211.57
111331,31,49,1230.46
111331,31,52,659.87
111331,31,59,562.195
111331,31,90,19773.86
111331,32,10,2280.18
111331,32,37,156.05
111331,32,49,3095.44
111331,32,59,264.6
111331,32,90,1510.86
111331,46,52,9101.33
111331,50,10,171.1
111331,53,49,2790.615
111331,53,52,205.9
111331,55,52,166.12
111331,56,49,197.48
111331,56,52,274.365
111331,58,52,253.71
111331,60,10,6438.65
111331,60,49,708.15
111331,60,52,1419.27
111331,61,52,10906.44
111331,68,10,17.54
111331,68,40,112.1
111331,70,28,677.52
111331,70,49,319.94
111331,75,10,1184.145
111331,75,40,215.24
111331,75,58,271.49
111331,76,43,174.07
111331,77,10,1907.52
111331,77,37,3936.71
111331,77,59,193.83
111331,79,37,128.37
111331,79,59,363.29
111331,81,10,814.78
111331,81,59,396.41
111331,81,90,596.41
111331,82,25,274.54
111331,82,36,2875.225
111331,85,10,4982.8
111331,85,36,192.21
111331,97,52,3358.11
111331,99,59,378.41
111331,99,68,99.67
111332,56,34,2666.82
111332,56,52,920.16
111332,81,10,739.28
111333,31,7,3092.6
111336,29,59,3054.79
111336,31,28,84.53
111336,56,52,270.53
111336,59,52,310.08
111336,68,43,1457.97
111336,76,90,1366.12
111336,87,59,647.82
111339,16,40,443.04
111339,26,90,13647.99
111339,29,28,787.4
111339,31,52,843.58
111339,32,7,304.88
111339,70,52,297.71
111339,82,68,155.7
111339,85,37,293.47
111411,1,37,324.86
111411,1,68,416.1
111411,2,4,1027.6
111411,6,65,1427.92
111411,7,4,224.61
111411,7,25,93.27
111411,10,2,5003.47
111411,10,10,367.73
111411,10,13,39351.485
111411,10,28,1679.025
111411,10,40,3695.695
111411,10,49,696.02
111411,12,10,383.21
111411,12,13,532.99
111411,12,28,4081.26
111411,12,40,483.055
111411,12,52,109.28
111411,12,59,1665.24
111411,12,80,5731.68
111411,13,10,927.88
111411,13,13,331.44
111411,13,28,861.76
111411,13,40,866.71
111411,13,90,161.7
111411,14,1,511.02
111411,15,40,2707.26
111411,16,40,399.13
111411,17,10,456.34
111411,17,40,580.4
111411,17,49,1251.07
111411,17,59,274.46
111411,18,43,211.03
111411,19,40,628.68
111411,19,42,126.01
111411,19,43,634.12
111411,19,49,147.03
111411,25,7,52.99
111411,25,10,1190.665
111411,25,28,12483.005
111411,25,40,1614.82
111411,25,49,606.99
111411,25,52,1260.77
111411,25,90,384.58
111411,26,10,263.23
111411,26,28,239.83
111411,26,49,9706.92
111411,26,52,29658.45
111411,27,10,177.265
111411,27,25,55.36
111411,27,52,1653.445
111411,28,10,2176.51
111411,28,49,4143.38
111411,29,7,1407.77
111411,29,10,976.245
111411,29,28,18157.815
111411,29,40,569.74
111411,29,49,350.65
111411,29,52,431.57
111411,29,59,44802.4
111411,29,90,81073.24
111411,30,10,421.66
111411,30,49,1448.5
111411,30,52,537.545
111411,31,10,375.78
111411,31,16,4227.48
111411,31,28,1675.33
111411,31,40,383.4
111411,31,49,1052.6
111411,31,52,449.74
111411,31,59,607.9
111411,31,90,2386.825
111411,32,10,2061.14
111411,32,28,7095.515
111411,32,49,256.29
111411,32,52,555.275
111411,32,90,248.335
111411,33,10,18893.59
111411,33,28,21732.35
111411,33,49,1584.77
111411,33,52,425.125
111411,45,7,982.28
111411,45,52,11419.03
111411,53,10,2023.76
111411,53,49,6570.065
111411,53,52,1595.465
111411,55,52,1807.6
111411,55,59,106.27
111411,56,28,37494.53
111411,56,34,3057.095
111411,56,49,2019.09
111411,56,52,349.4
111411,57,10,233.85
111411,57,49,960.58
111411,57,52,333.04
111411,57,59,336.63
111411,58,52,1418.78
111411,59,52,23850.385
111411,60,10,999.685
111411,60,37,397.84
111411,60,49,1768.56
111411,60,52,526.44
111411,65,10,1082.41
111411,66,10,839.25
111411,66,13,417.69
111411,66,40,352.225
111411,66,52,48440.37
111411,68,10,4141.41
111411,68,43,175.79
111411,68,52,4048.965
111411,70,10,37276.245
111411,70,28,28868.99
111411,70,37,255.33
111411,74,10,19419.565
111411,75,7,16675.69
111411,75,10,579.27
111411,75,13,1221.915
111411,75,25,1154.3
111411,75,28,1525.18
111411,75,40,2914.45
111411,75,52,797.53
111411,75,59,47.08
111411,76,10,4468.62
111411,76,13,597.58
111411,76,28,237.92
111411,76,37,235.82
111411,78,10,2006.715
111411,79,10,305.5
111411,79,13,241.92
111411,79,25,1949.9
111411,79,40,135.51
111411,79,49,321.59
111411,79,52,1207.845
111411,79,59,702.79
111411,80,52,3185.16
111411,81,7,574.19
111411,81,10,341.3
111411,81,13,322.15
111411,81,40,960.08
111411,81,49,8178.015
111411,81,52,1512.31
111411,82,42,859.09
111411,82,65,923.43
111411,82,71,114.28
111411,84,19,710.165
111411,84,37,486.34
111411,86,1,114.66
111411,87,25,120.475
111411,87,37,1157.15
111411,87,40,225.81
111411,87,59,654.875
111411,90,71,13414.6
111411,94,52,196.62
111411,97,10,144.87
111411,97,49,205.99
111411,97,52,11230.74
111411,97,78,5704.53
111411,99,1,359.46
111411,99,4,1229.44
111411,99,10,750.12
111411,99,28,14070.485
111411,99,36,785.4
111411,99,40,492.82
111411,99,43,267.37
111411,99,49,445.66
111411,99,52,906.59
111411,99,59,183.75
111419,5,4,6982.76
111419,9,68,133.43
111419,13,10,2863.24
111419,16,40,790.3
111419,19,40,510.93
111419,31,28,12309.5
111419,31,49,877.37
111419,31,90,2714.49
111419,60,49,2901.92
111419,66,10,486.79
111419,68,7,2782.19
111419,75,10,223.11
111419,85,28,67865.74
111419,87,25,119.71
111419,94,49,211.39
111419,99,59,698.95
111421,10,40,1057.45
111421,12,10,463.9
111421,12,28,1037.92
111421,12,49,2023.84
111421,13,10,3792.92
111421,13,40,610.78
111421,13,90,652.21
111421,15,40,21.43
111421,16,40,592.43
111421,16,43,308.31
111421,16,52,343.58
111421,17,10,165.54
111421,17,40,149.29
111421,17,43,359.71
111421,18,28,1420.37
111421,18,40,170.04
111421,19,2,8507.42
111421,19,40,660.61
111421,19,43,4234.195
111421,20,10,465.82
111421,25,10,1148.38
111421,25,28,45665.3
111421,25,52,9361.495
111421,26,10,516.985
111421,26,40,2647.43
111421,26,52,1734.675
111421,28,52,456.22
111421,28,59,527.59
111421,29,37,3615.62
111421,30,49,2543.3
111421,30,52,176.89
111421,31,10,6735.07
111421,31,28,23222.915
111421,31,49,110.07
111421,31,52,9390.37
111421,31,59,1528.19
111421,31,90,54789.13
111421,32,10,373.03
111421,32,52,1843.76
111421,45,10,3819.16
111421,45,90,1767.48
111421,46,52,338.05
111421,50,49,2114.91
111421,50,52,14705.755
111421,53,49,1686.38
111421,53,52,198.41
111421,54,28,59710.84
111421,54,49,3700.73
111421,54,52,291.23
111421,55,52,8743.53
111421,56,34,20974.62
111421,56,49,2230.835
111421,56,52,1601.26
111421,56,59,3288.77
111421,57,49,4953.87
111421,57,52,828.78
111421,58,52,3509.41
111421,58,59,1249.83
111421,59,52,1963.12
111421,59,59,6373.2
111421,60,10,13004.94
111421,60,52,1537.92
111421,68,10,4523.62
111421,68,28,929.8
111421,68,52,344.27
111421,68,59,1689.25
111421,70,49,518.57
111421,70,52,414.41
111421,75,10,339.11
111421,75,40,651.76
111421,75,52,311.61
111421,76,10,1088.57
111421,79,10,1526.24
111421,79,40,1888.65
111421,80,7,1463.97
111421,80,40,183.75
111421,81,10,992.305
111421,81,13,651.08
111421,81,43,212.7
111421,82,37,376.54
111421,82,68,168.04
111421,85,43,305.32
111421,87,25,302.2
111421,94,37,152.63
111421,97,49,1995.19
111421,97,52,1662.465
111421,98,52,559
111421,99,1,260.37
111421,99,25,608.44
111421,99,37,185.09
111421,99,49,5172.21
111421,99,52,1835.04
111421,99,59,99.11
111421,99,68,469.205
111421,99,71,151.48
111422,7,4,281.41
111422,12,10,137.73
111422,12,52,999.4
111422,13,10,496.18
111422,13,13,901.705
111422,13,49,1669.87
111422,15,40,615.23
111422,16,43,79.89
111422,18,40,1814.78
111422,19,13,365.98
111422,19,40,332.11
111422,25,49,788.56
111422,26,13,1272.37
